,,,,,,,,,
Area,IEPN,TNodes,Round No,Total Data,Remaining Energy,Energy Consumption,Dead Nodes,Alive Nodes,CH
40000,0.5,75,154,98401,32.834563,4.665437,0,75,4
40000,0.5,75,155,99055,32.791227,4.708773,0,75,4
40000,0.5,75,156,99692,32.748253,4.751747,0,75,4
40000,0.5,75,157,100317,32.741654,4.758346,0,75,4
40000,0.5,75,158,100929,32.706592,4.793408,0,75,4
40000,0.5,75,159,101536,32.660301,4.839699,0,75,4
40000,0.5,75,160,102175,32.626023,4.873977,0,75,4
40000,0.5,75,161,102800,32.587192,4.912808,0,75,4
40000,0.5,75,162,103447,32.543102,4.956898,0,75,4
40000,0.5,75,163,104088,32.504714,4.995286,0,75,4
40000,0.5,75,164,104726,32.46847,5.03153,0,75,4
40000,0.5,75,165,105358,32.431566,5.068434,0,75,4
40000,0.5,75,166,106004,32.395877,5.104123,0,75,5
40000,0.5,75,167,106627,32.357493,5.142507,0,75,4
40000,0.5,75,168,107266,32.322637,5.177363,0,75,4
40000,0.5,75,169,107921,32.287252,5.212748,0,75,4
40000,0.5,75,170,108559,32.25254,5.24746,0,75,4
40000,0.5,75,171,109194,32.213192,5.286808,0,75,5
40000,0.5,75,172,109802,32.176406,5.323594,0,75,4
40000,0.5,75,173,110461,32.133423,5.366577,0,75,4
40000,0.5,75,174,111124,32.090964,5.409036,0,75,4
40000,0.5,75,175,111752,32.08645,5.41355,0,75,4
40000,0.5,75,176,112385,32.080335,5.419665,0,75,4
40000,0.5,75,177,113000,32.037087,5.462913,0,75,4
40000,0.5,75,178,113644,31.990644,5.509356,0,75,3
40000,0.5,75,179,114302,31.952356,5.547644,0,75,5
40000,0.5,75,180,114945,31.909091,5.590909,0,75,4
40000,0.5,75,181,115605,31.866333,5.633667,0,75,4
40000,0.5,75,182,116230,31.827681,5.672319,0,75,4
40000,0.5,75,183,116860,31.820744,5.679256,0,75,4
40000,0.5,75,184,117485,31.777561,5.722439,0,75,4
40000,0.5,75,185,118098,31.740895,5.759105,0,75,4
40000,0.5,75,186,118725,31.734288,5.765712,0,75,4
40000,0.5,75,187,119351,31.698424,5.801576,0,75,4
40000,0.5,75,188,119992,31.655173,5.844827,0,75,4
40000,0.5,75,189,120645,31.612008,5.887992,0,75,4
40000,0.5,75,190,121272,31.567537,5.932463,0,75,4
40000,0.5,75,191,121910,31.560823,5.939177,0,75,4
40000,0.5,75,192,122556,31.524434,5.975566,0,75,4
40000,0.5,75,193,123184,31.473431,6.026569,0,75,5
40000,0.5,75,194,123838,31.427211,6.072789,0,75,4
40000,0.5,75,195,124473,31.381557,6.118443,0,75,5
40000,0.5,75,196,125115,31.339839,6.160161,0,75,5
40000,0.5,75,197,125748,31.294263,6.205737,0,75,4
40000,0.5,75,198,126360,31.258963,6.241037,0,75,4
40000,0.5,75,199,126994,31.223902,6.276098,0,75,4
40000,0.5,75,200,127631,31.219456,6.280544,0,75,4
40000,0.5,75,201,128276,31.183209,6.316791,0,75,4
40000,0.5,75,202,128927,31.148579,6.351421,0,75,4
40000,0.5,75,203,129577,31.105914,6.394086,0,75,5
40000,0.5,75,204,130227,31.101067,6.398933,0,75,4
40000,0.5,75,205,130854,31.057843,6.442157,0,75,4
40000,0.5,75,206,131500,31.022431,6.477569,0,75,4
40000,0.5,75,207,132094,30.986147,6.513853,0,75,4
40000,0.5,75,208,132746,30.949709,6.550291,0,75,4
40000,0.5,75,209,133388,30.943087,6.556913,0,75,4
40000,0.5,75,210,133992,30.907822,6.592178,0,75,4
40000,0.5,75,211,134633,30.864591,6.635409,0,75,4
40000,0.5,75,212,135262,30.8569,6.6431,0,75,4
40000,0.5,75,213,135895,30.822107,6.677893,0,75,4
40000,0.5,75,214,136528,30.776798,6.723202,0,75,4
40000,0.5,75,215,137164,30.768725,6.731275,0,75,4
40000,0.5,75,216,137797,30.730688,6.769312,0,75,4
40000,0.5,75,217,138411,30.684306,6.815694,0,75,4
40000,0.5,75,218,139040,30.677327,6.822673,0,75,4
40000,0.5,75,219,139661,30.633414,6.866586,0,75,4
40000,0.5,75,220,140300,30.591451,6.908549,0,75,4
40000,0.5,75,221,140951,30.547707,6.952293,0,75,4
40000,0.5,75,222,141557,30.512135,6.987865,0,75,4
40000,0.5,75,223,142183,30.469209,7.030791,0,75,4
40000,0.5,75,224,142816,30.431703,7.068297,0,75,4
40000,0.5,75,225,143450,30.396617,7.103383,0,75,4
40000,0.5,75,226,144062,30.35353,7.14647,0,75,4
40000,0.5,75,227,144704,30.3109,7.1891,0,75,5
40000,0.5,75,228,145364,30.275262,7.224738,0,75,5
40000,0.5,75,229,145960,30.237707,7.262293,0,75,4
40000,0.5,75,230,146595,30.201203,7.298797,0,75,4
40000,0.5,75,231,147213,30.166351,7.333649,0,75,4
40000,0.5,75,232,147859,30.129426,7.370574,0,75,4
40000,0.5,75,233,148501,30.083668,7.416332,0,75,4
40000,0.5,75,234,149155,30.048474,7.451526,0,75,5
40000,0.5,75,235,149771,30.013918,7.486082,0,75,4
40000,0.5,75,236,150396,29.970711,7.529289,0,75,4
40000,0.5,75,237,151021,29.926543,7.573457,0,75,4
40000,0.5,75,238,151642,29.883289,7.616711,0,75,4
40000,0.5,75,239,152285,29.839495,7.660505,0,75,4
40000,0.5,75,240,152919,29.797264,7.702736,0,75,5
40000,0.5,75,241,153556,29.75423,7.74577,0,75,4
40000,0.5,75,242,154190,29.710232,7.789768,0,75,4
40000,0.5,75,243,154821,29.666206,7.833794,0,75,4
40000,0.5,75,244,155438,29.62358,7.87642,0,75,5
40000,0.5,75,245,156068,29.579607,7.920393,0,75,4
40000,0.5,75,246,156662,29.539046,7.960954,0,75,4
40000,0.5,75,247,157279,29.504354,7.995646,0,75,4
40000,0.5,75,248,157946,29.469184,8.030816,0,75,4
40000,0.5,75,249,158593,29.432625,8.067375,0,75,4
40000,0.5,75,250,159240,29.39653,8.10347,0,75,4
40000,0.5,75,251,159868,29.349937,8.150063,0,75,4
40000,0.5,75,252,160497,29.314778,8.185222,0,75,4
40000,0.5,75,253,161133,29.266543,8.233457,0,75,4
40000,0.5,75,254,161753,29.218135,8.281865,0,75,4
40000,0.5,75,255,162417,29.172049,8.327951,0,75,5
40000,0.5,75,256,163043,29.12756,8.37244,0,75,4
40000,0.5,75,257,163686,29.084044,8.415956,0,75,4
40000,0.5,75,258,164298,29.077798,8.422202,0,75,4
40000,0.5,75,259,164919,29.036836,8.463164,0,75,4
40000,0.5,75,260,165567,29.001289,8.498711,0,75,4
40000,0.5,75,261,166179,28.965355,8.534645,0,75,4
40000,0.5,75,262,166789,28.925424,8.574576,0,75,5
40000,0.5,75,263,167418,28.917926,8.582074,0,75,4
40000,0.5,75,264,168034,28.87496,8.62504,0,75,4
40000,0.5,75,265,168688,28.831097,8.668903,0,75,4
40000,0.5,75,266,169333,28.796219,8.703781,0,75,4
40000,0.5,75,267,169977,28.752328,8.747672,0,75,4
40000,0.5,75,268,170617,28.7094,8.7906,0,75,4
40000,0.5,75,269,171273,28.666208,8.833792,0,75,4
40000,0.5,75,270,171930,28.621329,8.878671,0,75,4
40000,0.5,75,271,172587,28.578362,8.921638,0,75,4
40000,0.5,75,272,173211,28.541692,8.958308,0,75,5
40000,0.5,75,273,173836,28.506249,8.993751,0,75,4
40000,0.5,75,274,174464,28.499425,9.000575,0,75,4
40000,0.5,75,275,175088,28.451408,9.048592,0,75,4
40000,0.5,75,276,175708,28.407217,9.092783,0,75,4
40000,0.5,75,277,176348,28.36406,9.13594,0,75,4
40000,0.5,75,278,176983,28.329072,9.170928,0,75,4
40000,0.5,75,279,177635,28.32394,9.17606,0,75,4
40000,0.5,75,280,178270,28.27929,9.22071,0,75,4
40000,0.5,75,281,178907,28.244266,9.255734,0,75,4
40000,0.5,75,282,179547,28.20879,9.29121,0,75,4
40000,0.5,75,283,180179,28.173958,9.326042,0,75,4
40000,0.5,75,284,180825,28.169794,9.330206,0,75,4
40000,0.5,75,285,181476,28.125948,9.374052,0,75,4
40000,0.5,75,286,182129,28.089198,9.410802,0,75,4
40000,0.5,75,287,182755,28.054485,9.445515,0,75,4
40000,0.5,75,288,183408,28.049561,9.450439,0,75,4
40000,0.5,75,289,184051,28.013166,9.486834,0,75,4
40000,0.5,75,290,184702,27.968023,9.531977,0,75,5
40000,0.5,75,291,185334,27.963767,9.536233,0,75,3
40000,0.5,75,292,185990,27.928082,9.571918,0,75,4
40000,0.5,75,293,186620,27.891649,9.608351,0,75,4
40000,0.5,75,294,187274,27.854236,9.645764,0,75,4
40000,0.5,75,295,187896,27.818422,9.681578,0,75,5
40000,0.5,75,296,188534,27.781798,9.718202,0,75,4
40000,0.5,75,297,189157,27.777493,9.722507,0,75,4
40000,0.5,75,298,189793,27.773045,9.726955,0,75,4
40000,0.5,75,299,190443,27.73646,9.76354,0,75,4
40000,0.5,75,300,191084,27.732155,9.767845,0,75,4
40000,0.5,75,301,191721,27.695074,9.804926,0,75,5
40000,0.5,75,302,192322,27.688519,9.811481,0,75,3
40000,0.5,75,303,192949,27.653958,9.846042,0,75,4
40000,0.5,75,304,193579,27.61217,9.88783,0,75,5
40000,0.5,75,305,194231,27.576218,9.923782,0,75,4
40000,0.5,75,306,194882,27.528211,9.971789,0,75,3
40000,0.5,75,307,195544,27.482841,10.017159,0,75,4
40000,0.5,75,308,196138,27.446884,10.053116,0,75,4
40000,0.5,75,309,196765,27.412242,10.087758,0,75,4
40000,0.5,75,310,197390,27.368566,10.131434,0,75,4
40000,0.5,75,311,198015,27.333472,10.166528,0,75,4
40000,0.5,75,312,198639,27.287137,10.212863,0,75,4
40000,0.5,75,313,199278,27.249708,10.250292,0,75,4
40000,0.5,75,314,199922,27.245503,10.254497,0,75,4
40000,0.5,75,315,200574,27.200784,10.299216,0,75,4
40000,0.5,75,316,201220,27.197136,10.302864,0,75,4
40000,0.5,75,317,201847,27.195172,10.304828,0,75,4
40000,0.5,75,318,202491,27.1516,10.3484,0,75,4
40000,0.5,75,319,203136,27.110884,10.389116,0,75,5
40000,0.5,75,320,203793,27.067172,10.432828,0,75,4
40000,0.5,75,321,204444,27.031902,10.468098,0,75,4
40000,0.5,75,322,205089,26.99737,10.50263,0,75,4
40000,0.5,75,323,205732,26.989975,10.510025,0,75,4
40000,0.5,75,324,206360,26.95302,10.54698,0,75,4
40000,0.5,75,325,206964,26.948553,10.551447,0,75,4
40000,0.5,75,326,207619,26.904652,10.595348,0,75,4
40000,0.5,75,327,208255,26.859983,10.640017,0,75,4
40000,0.5,75,328,208896,26.816835,10.683165,0,75,4
40000,0.5,75,329,209517,26.780268,10.719732,0,75,4
40000,0.5,75,330,210168,26.737976,10.762024,0,75,4
40000,0.5,75,331,210812,26.702615,10.797385,0,75,5
40000,0.5,75,332,211463,26.695993,10.804007,0,75,4
40000,0.5,75,333,212090,26.660405,10.839595,0,75,4
40000,0.5,75,334,212724,26.625458,10.874542,0,75,4
40000,0.5,75,335,213365,26.621269,10.878731,0,75,4
40000,0.5,75,336,214001,26.586312,10.913688,0,75,4
40000,0.5,75,337,214617,26.54216,10.95784,0,75,4
40000,0.5,75,338,215223,26.497008,11.002992,0,75,5
40000,0.5,75,339,215861,26.492534,11.007466,0,75,4
40000,0.5,75,340,216505,26.447444,11.052556,0,75,4
40000,0.5,75,341,217117,26.440526,11.059474,0,75,4
40000,0.5,75,342,217744,26.396064,11.103936,0,75,4
40000,0.5,75,343,218360,26.351254,11.148746,0,75,4
40000,0.5,75,344,219004,26.313723,11.186277,0,75,4
40000,0.5,75,345,219656,26.307654,11.192346,0,75,4
40000,0.5,75,346,220291,26.262056,11.237944,0,75,4
40000,0.5,75,347,220949,26.217475,11.282525,0,75,4
40000,0.5,75,348,221552,26.174334,11.325666,0,75,4
40000,0.5,75,349,222195,26.131711,11.368289,0,75,4
40000,0.5,75,350,222798,26.095453,11.404547,0,75,5
40000,0.5,75,351,223427,26.051646,11.448354,0,75,4
40000,0.5,75,352,224053,26.016054,11.483946,0,75,4
40000,0.5,75,353,224691,26.01115,11.48885,0,75,4
40000,0.5,75,354,225325,25.968357,11.531643,0,75,4
40000,0.5,75,355,225976,25.924693,11.575307,0,75,4
40000,0.5,75,356,226615,25.882183,11.617817,0,75,4
40000,0.5,75,357,227246,25.846617,11.653383,0,75,5
40000,0.5,75,358,227896,25.841687,11.658313,0,75,4
40000,0.5,75,359,228511,25.805639,11.694361,0,75,4
40000,0.5,75,360,229179,25.768479,11.731521,0,75,4
40000,0.5,75,361,229822,25.760877,11.739123,0,75,4
40000,0.5,75,362,230460,25.712677,11.787323,0,75,4
40000,0.5,75,363,231101,25.675542,11.824458,0,75,4
40000,0.5,75,364,231712,25.631572,11.868428,0,75,4
40000,0.5,75,365,232349,25.595995,11.904005,0,75,4
40000,0.5,75,366,232992,25.560254,11.939746,0,75,4
40000,0.5,75,367,233633,25.515377,11.984623,0,75,4
40000,0.5,75,368,234273,25.475908,12.024092,0,75,5
40000,0.5,75,369,234917,25.430536,12.069464,0,75,4
40000,0.5,75,370,235558,25.394355,12.105645,0,75,4
40000,0.5,75,371,236181,25.350415,12.149585,0,75,4
40000,0.5,75,372,236808,25.306138,12.193862,0,75,4
40000,0.5,75,373,237415,25.261202,12.238798,0,75,4
40000,0.5,75,374,238036,25.218036,12.281964,0,75,4
40000,0.5,75,375,238684,25.173704,12.326296,0,75,5
40000,0.5,75,376,239309,25.139113,12.360887,0,75,4
40000,0.5,75,377,239945,25.134207,12.365793,0,75,4
40000,0.5,75,378,240593,25.129868,12.370132,0,75,4
40000,0.5,75,379,241235,25.094907,12.405093,0,75,4
40000,0.5,75,380,241873,25.090483,12.409517,0,75,4
40000,0.5,75,381,242499,25.050941,12.449059,0,75,4
40000,0.5,75,382,243143,25.015273,12.484727,0,75,5
40000,0.5,75,383,243768,25.008379,12.491621,0,75,4
40000,0.5,75,384,244411,25.003463,12.496537,0,75,4
40000,0.5,75,385,245059,24.960512,12.539488,0,75,4
40000,0.5,75,386,245708,24.956203,12.543797,0,75,4
40000,0.5,75,387,246352,24.920578,12.579422,0,75,4
40000,0.5,75,388,246975,24.916005,12.583995,0,75,4
40000,0.5,75,389,247611,24.911328,12.588672,0,75,4
40000,0.5,75,390,248248,24.906758,12.593242,0,75,4
40000,0.5,75,391,248887,24.90245,12.59755,0,75,4
40000,0.5,75,392,249503,24.898138,12.601862,0,75,4
40000,0.5,75,393,250147,24.891079,12.608921,0,75,4
40000,0.5,75,394,250805,24.886568,12.613432,0,75,4
40000,0.5,75,395,251402,24.881663,12.618337,0,75,4
40000,0.5,75,396,252028,24.838322,12.661678,0,75,4
40000,0.5,75,397,252635,24.794292,12.705708,0,75,4
40000,0.5,75,398,253282,24.749786,12.750214,0,75,4
40000,0.5,75,399,253932,24.712922,12.787078,0,75,4
40000,0.5,75,400,254593,24.676965,12.823035,0,75,4
40000,0.5,75,401,255228,24.633022,12.866978,0,75,4
40000,0.5,75,402,255852,24.591991,12.908009,0,75,4
40000,0.5,75,403,256476,24.544297,12.955703,0,75,4
40000,0.5,75,404,257116,24.500756,12.999244,0,75,4
40000,0.5,75,405,257742,24.461582,13.038418,0,75,4
40000,0.5,75,406,258382,24.456941,13.043059,0,75,4
40000,0.5,75,407,259028,24.412009,13.087991,0,75,4
40000,0.5,75,408,259665,24.368111,13.131889,0,75,4
40000,0.5,75,409,260281,24.325439,13.174561,0,75,4
40000,0.5,75,410,260901,24.282517,13.217483,0,75,4
40000,0.5,75,411,261535,24.245731,13.254269,0,75,4
40000,0.5,75,412,262141,24.208779,13.291221,0,75,4
40000,0.5,75,413,262782,24.206001,13.293999,0,75,4
40000,0.5,75,414,263441,24.170087,13.329913,0,75,5
40000,0.5,75,415,264087,24.167413,13.332587,0,75,4
40000,0.5,75,416,264718,24.131819,13.368181,0,75,4
40000,0.5,75,417,265369,24.126683,13.373317,0,75,4
40000,0.5,75,418,265996,24.09077,13.40923,0,75,4
40000,0.5,75,419,266634,24.053753,13.446247,0,75,4
40000,0.5,75,420,267269,24.046939,13.453061,0,75,4
40000,0.5,75,421,267916,24.002357,13.497643,0,75,4
40000,0.5,75,422,268538,23.957691,13.542309,0,75,4
40000,0.5,75,423,269165,23.92154,13.57846,0,75,4
40000,0.5,75,424,269790,23.877519,13.622481,0,75,4
40000,0.5,75,425,270423,23.836793,13.663207,0,75,4
40000,0.5,75,426,271064,23.793713,13.706287,0,75,5
40000,0.5,75,427,271687,23.749922,13.750078,0,75,4
40000,0.5,75,428,272319,23.706065,13.793935,0,75,4
40000,0.5,75,429,272953,23.664348,13.835652,0,75,4
40000,0.5,75,430,273584,23.621118,13.878882,0,75,4
40000,0.5,75,431,274240,23.577231,13.922769,0,75,4
40000,0.5,75,432,274885,23.535077,13.964923,0,75,5
40000,0.5,75,433,275530,23.530703,13.969297,0,75,4
40000,0.5,75,434,276176,23.496078,14.003922,0,75,4
40000,0.5,75,435,276834,23.450373,14.049627,0,75,4
40000,0.5,75,436,277496,23.40546,14.09454,0,75,4
40000,0.5,75,437,278141,23.400363,14.099637,0,75,4
40000,0.5,75,438,278761,23.395361,14.104639,0,75,4
40000,0.5,75,439,279402,23.390479,14.109521,0,75,4
40000,0.5,75,440,280036,23.345571,14.154429,0,75,5
40000,0.5,75,441,280666,23.301796,14.198204,0,75,4
40000,0.5,75,442,281277,23.266529,14.233471,0,75,4
40000,0.5,75,443,281898,23.261519,14.238481,0,75,4
40000,0.5,75,444,282546,23.256389,14.243611,0,75,4
40000,0.5,75,445,283180,23.251384,14.248616,0,75,4
40000,0.5,75,446,283813,23.207106,14.292894,0,75,4
40000,0.5,75,447,284455,23.163122,14.336878,0,75,4
40000,0.5,75,448,285085,23.119028,14.380972,0,75,4
40000,0.5,75,449,285716,23.083346,14.416654,0,75,4
40000,0.5,75,450,286362,23.047258,14.452742,0,75,4
40000,0.5,75,451,287011,23.039852,14.460148,0,75,4
40000,0.5,75,452,287641,23.003649,14.496351,0,75,4
40000,0.5,75,453,288285,22.959609,14.540391,0,75,4
40000,0.5,75,454,288945,22.91515,14.58485,0,75,4
40000,0.5,75,455,289582,22.870866,14.629134,0,75,4
40000,0.5,75,456,290216,22.835366,14.664634,0,75,4
40000,0.5,75,457,290844,22.798624,14.701376,0,75,4
